,Empresa_1,Empresa_2,Empresa_3,Empresa_4,Empresa_5,Empresa_6
2021-12-01,1031672.3789552498,1337783.5604706602,287948.8816662449,16422.406287313435,21770.710500000005,293712.2924361048
2021-12-02,1227542.7822661994,1220479.4024193645,258811.44338405144,13843.867517630468,24251.2305,206690.87834892582
2021-12-03,1338996.230702365,1284539.5052385891,332122.03821541084,7238.288921200002,32093.071500000002,412924.7344876614
2021-12-04,1446646.3239891022,1342425.3701181973,366877.8576380656,13859.460469483569,37023.483,432612.9327003797
2021-12-05,1215197.3938586987,1342486.6894575022,219917.86868147188,10441.896478873241,13549.158000000001,212995.6408041947
2021-12-06,1136172.7104082473,1376660.7728188583,178701.14874873843,7463.587174217655,9506.07,234980.6552300667
2021-12-07,1203745.7499489214,1382426.7103980354,209992.93266807368,6174.196981132077,9196.162499999999,171729.60021358475
2021-12-08,1022987.2846963815,1372181.954834917,202405.58903002637,5374.678202939783,7535.587499999999,208001.13851849388
2021-12-09,1209161.5982901924,1461487.0879073245,222575.35286078707,5357.426703296704,9041.907000000003,224291.3795180777
2021-12-10,1419927.7931103997,1526082.0043194976,249040.5132580137,6421.425496909178,22539.342000000004,341029.2320634437
2021-12-11,1466935.0728108475,1436531.0491038759,286700.34343729797,6609.203020594967,39569.27099999999,334746.77076033625
2021-12-12,1008503.6414822562,1334902.1297664605,275029.26984709594,7093.63347826087,10787.049,187739.69875546772
2021-12-13,1281341.2695519396,1461815.082433532,307011.2626442509,3435.0848444231688,8988.8505,234534.12648155782
2021-12-14,1244940.8270604336,1380535.5844877053,303520.92075875215,6004.031653129478,9881.550000000001,244675.45015822674
2021-12-15,1089405.121164659,1335662.2381249217,283668.1084554141,7612.431266540645,15088.794000000004,175653.99628632184
2021-12-16,1357758.1944772021,1509319.3234420046,283982.60883534135,3871.642976919454,18638.55,248258.38868804532
2021-12-17,1571499.3354527233,1574239.3200781096,397390.7620808124,5905.934624207842,25585.391999999993,279752.34229413414
2021-12-18,1621001.815010468,1776320.1052901484,567776.7546371114,16936.060497131937,30657.196500000002,413126.5368337493
2021-12-19,1336603.2780181416,1665405.5937293412,764511.9130866285,5231.073881453155,20511.413999999993,322996.91677410423
2021-12-20,1646343.2520864275,1619814.0584268612,823078.0634149628,6601.9995851423055,13957.870499999999,401597.1339888685
2021-12-21,1636599.256324532,1568628.3325976536,938856.4474918612,9235.805566811383,18292.3545,386349.1972997111
2021-12-22,1500819.3080476727,1605693.121666159,972702.8579356006,8728.728046198268,17204.922,332575.0844220802
2021-12-23,1567428.9770873284,1910684.623667061,969374.8387873814,5507.22578313253,22769.6805,418901.0057807417
2021-12-24,1804993.0452872165,2236515.589664716,955109.4788868434,5992.101428571428,19137.468000000004,606458.7666807371
2021-12-25,1887610.0780759142,2358460.4535833667,931779.2791779537,5992.101428571428,30265.903499999993,663703.8293430211
2021-12-26,2228223.962757619,2429590.806313322,1114239.5442294104,8984.729031476996,41719.702500000014,582598.8282593836
2021-12-27,2200914.123830683,2594027.3836620795,1213340.8171745844,6978.373338185347,50096.224500000004,653910.6624724419
2021-12-28,2312137.3087043935,2603804.0925756805,1103838.5417427416,6675.982785299806,35172.270000000004,665208.5174543097
2021-12-29,2174856.4046537406,2783804.306233388,1272284.0189987815,6604.603971803597,32966.64,587478.563431501
2021-12-30,2713556.0434928453,2780262.742362348,1378831.5695781694,6360.479552964043,32294.209500000004,660170.17913523
2021-12-31,2843514.50862487,2807830.0472752415,1575513.0604357843,7300.982720624087,39904.3155,780330.5501475949
2022-01-01,2496232.2659137137,2586802.636871813,1024044.805356337,6621.062013729977,33502.213500000005,692156.9972312914
2022-01-02,1523574.9291109385,2186556.921222138,503041.3176047613,5518.233476070529,17359.8705,317548.2275683502
2022-01-03,1661016.0098475586,2212489.510977956,428274.18407088233,4959.6304594330395,11492.733,395326.91243277065
2022-01-04,1755889.838330206,1956802.7635662952,407855.6445207943,4442.187424684159,15715.412999999999,360548.72555005114
2022-01-05,1684014.5002582744,1909971.657783769,1004313.5167259212,4468.286994461321,10534.629,268768.8141497104
2022-01-06,1622960.4307159162,1884557.0575849656,1011372.8124634908,3777.8647095996116,15529.437,257110.34844399287
2022-01-07,1717719.4833605257,1765279.8702320904,955349.8761189742,3659.9259465853324,19790.683499999992,324207.18581754545
2022-01-08,1583982.7044221545,1654452.8275779616,900596.1359501047,4975.088875305623,20829.123,337535.7492460948
2022-01-09,1119963.7818876975,1578293.1037491946,331577.8663735897,4056.6407823960876,6612.018,165998.4729335054
2022-01-10,1286232.760643636,1563372.7514831752,161821.06169179032,4387.443940373193,7839.552,244384.77612636282
2022-01-11,1263759.1889469088,1577655.9975345794,149484.7093293086,4003.7981653485153,7518.745500000001,246536.73293607813
2022-01-12,1200331.5993331484,1567649.919568169,139522.3332287127,2683.8181897588142,7325.661,238153.83584954726
2022-01-13,1325350.4376850585,1607399.39003386,151613.42446499996,3490.6647422174215,8097.579000000001,248804.64657566528
2022-01-14,1359774.9182882223,1777879.6628213678,217857.97942649518,3953.4400807437855,11989.026,380435.41301355057
2022-01-15,1470631.7464637116,1870226.3333113783,227179.7893916221,8012.769666011787,21934.689,321641.8978215386
2022-01-16,952311.6790720349,1685811.2198815378,186008.65499069288,9490.837603143418,9870.966000000002,167017.49487031388
2022-01-17,963134.6141863496,1612474.6629892408,228010.70884006942,11431.697562776955,6609.277500000001,162239.2697897774
2022-01-18,867853.9892729347,1580952.1389800028,167017.06523862982,13511.083152709358,9780.3825,156812.94076807125
2022-01-19,956008.1146547066,1540212.0562093998,193257.03504418675,7997.536666666668,8379.2835,133436.18159878452
2022-01-20,1025048.2094999993,1637213.647070529,270770.912881439,9226.25815249267,10379.134499999996,148088.70523949162
2022-01-21,1262316.5118670575,1710838.3155034224,340676.28330400784,6846.608805615456,16173.170999999998,275694.51155354094
2022-01-22,1224091.6578854024,1764157.931090035,313750.84153442184,4429.451222493887,23912.8995,322367.94834607135
2022-01-23,1018480.0478471146,1604635.5530796999,575427.6798331109,5398.970244498777,5049.723,113212.80396235826
2022-01-24,990789.9985859153,1471852.4926203005,897389.1906614935,7241.152885085573,4721.6925,148530.67478342893
2022-01-25,966125.3606670629,1460628.7330252489,1091697.0345525374,5502.502147358216,4805.545500000001,171676.63526222916
2022-01-26,946985.5786137232,1514070.5181416117,1294561.9653868976,4867.807173281704,8413.639499999997,130685.94430804657
2022-01-27,1260461.983276807,1754016.6105209398,1511330.7593951607,3955.2551937984504,13469.179499999998,149862.41000218006
2022-01-28,1409727.8866453497,1745179.356462709,1566035.807716009,4998.29833092137,16215.370500000005,296373.5438233606
2022-01-29,1362339.4695957704,1759916.1662922702,1610314.0877903686,6193.804987405541,26560.054500000006,353525.0746729484
2022-01-30,898177.0842107605,1566613.1582366936,1092005.1875731857,6652.788589420655,16865.666999999998,102701.0172674231
2022-01-31,830516.9595808722,1566301.2708697452,343774.8365872323,4413.762877697842,10322.277,52031.1412593182
2022-02-01,788338.5579610447,1647212.3820974429,149187.83894710854,5120.774062045564,15747.406499999997,57008.72893386059
2022-02-02,809520.0960349863,1687743.287299372,103914.23717453671,6773.792128279884,14479.7205,119859.76602526728
2022-02-03,889065.9326727155,1776604.0978814384,102764.40040816326,7463.15650485437,14726.921999999993,206958.4779425543
2022-02-04,1244060.4198846119,1899000.299483597,138629.02109823644,6265.446346990203,22684.956,345150.35098607733
2022-02-05,1459347.1477948262,1900542.5225524143,133976.39390140199,5882.216690997567,28682.629499999995,486388.269677664
2022-02-06,1334221.5138857374,1732220.1879010682,119889.72833500357,8195.428296836984,22501.164,371851.24523336045
2022-02-07,896814.5236723715,1729587.1188657435,152720.91928800064,5155.179464720195,2508.2085,217411.57233700773
2022-02-08,861840.548160166,1761742.960098268,157006.84494643947,7291.573304389773,4628.8095,231054.36339804667
2022-02-09,931783.1547616175,1800117.9385324942,185419.93945013866,8288.560348837207,6042.298500000001,180592.42483302896
2022-02-10,1252343.2793666567,2004694.503340248,260389.3151515651,8394.166341463415,10756.283999999998,185511.00792788572
2022-02-11,1383226.4291719368,1994960.0783750836,229983.70867244204,10320.931244487996,19379.303999999993,258486.35378842786
2022-02-12,1574253.3712971006,2019268.582923171,190605.35679291494,8180.7736672675765,28178.7975,332036.7320500812
2022-02-13,1343884.290736525,1885860.8658406625,240459.34225228752,9523.753408856846,12171.116999999995,273190.00546231144
2022-02-14,1389454.8441530713,1762056.4825342402,240852.6588294766,9104.453018128368,11238.8955,268335.380540482
